;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.615034168564918;50;
1;infmax;rice;deepwalk;crosswalk;mean_disparity;22.554665623685054;50;
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.2211798264202;50;
3;infmax;rice;deepwalk;crosswalk;std_disparity;18.736730925526647;50;
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.933639821296071;50;
5;infmax;rice;deepwalk;crosswalk;var_disparity;351.0650857755866;50;
6;infmax;rice;deepwalk;fairwalk;mean_infected_nodes_fraction;18.473804100227788;50;
7;infmax;rice;deepwalk;fairwalk;mean_disparity;25.55288830206558;50;
8;infmax;rice;deepwalk;fairwalk;std_infected_nodes_fraction;1.9059676214814527;50;
9;infmax;rice;deepwalk;fairwalk;std_disparity;12.732704579722997;50;
10;infmax;rice;deepwalk;fairwalk;var_infected_nodes_fraction;3.6327125741356663;50;
11;infmax;rice;deepwalk;fairwalk;var_disparity;162.12176591449898;50;
12;infmax;rice;deepwalk;skip;mean_infected_nodes_fraction;17.899772209567196;50;
13;infmax;rice;deepwalk;skip;mean_disparity;51.068013317245644;50;
14;infmax;rice;deepwalk;skip;std_infected_nodes_fraction;2.1991346601469552;50;
15;infmax;rice;deepwalk;skip;std_disparity;24.638274215575294;50;
16;infmax;rice;deepwalk;skip;var_infected_nodes_fraction;4.8361932534596646;50;
17;infmax;rice;deepwalk;skip;var_disparity;607.0445563218823;50;
18;infmax;rice;node2vec;crosswalk;mean_infected_nodes_fraction;17.671981776765378;50;
19;infmax;rice;node2vec;crosswalk;mean_disparity;11.332788562853183;50;
20;infmax;rice;node2vec;crosswalk;std_infected_nodes_fraction;2.193937629400208;50;
21;infmax;rice;node2vec;crosswalk;std_disparity;10.454837776547048;50;
22;infmax;rice;node2vec;crosswalk;var_infected_nodes_fraction;4.813362321698205;50;
23;infmax;rice;node2vec;crosswalk;var_disparity;109.30363293391524;50;
24;infmax;rice;node2vec;fairwalk;mean_infected_nodes_fraction;18.4874715261959;50;
25;infmax;rice;node2vec;fairwalk;mean_disparity;25.92632554385559;50;
26;infmax;rice;node2vec;fairwalk;std_infected_nodes_fraction;2.0073287923014105;50;
27;infmax;rice;node2vec;fairwalk;std_disparity;18.209486965860407;50;
28;infmax;rice;node2vec;fairwalk;var_infected_nodes_fraction;4.02936888040224;50;
29;infmax;rice;node2vec;fairwalk;var_disparity;331.5854155598401;50;
30;infmax;rice;node2vec;skip;mean_infected_nodes_fraction;18.482915717539864;50;
31;infmax;rice;node2vec;skip;mean_disparity;65.54446577536928;50;
32;infmax;rice;node2vec;skip;std_infected_nodes_fraction;1.7866729201212475;50;
33;infmax;rice;node2vec;skip;std_disparity;26.464460195103925;50;
34;infmax;rice;node2vec;skip;var_infected_nodes_fraction;3.1922001234945854;50;
35;infmax;rice;node2vec;skip;var_disparity;700.36765341824;50;
36;infmax;synthetic2;deepwalk;crosswalk;mean_infected_nodes_fraction;10.270438225900374;50;
37;infmax;synthetic2;deepwalk;crosswalk;mean_disparity;3.0383899123887645;50;
38;infmax;synthetic2;deepwalk;crosswalk;std_infected_nodes_fraction;0.7306653646114256;50;
39;infmax;synthetic2;deepwalk;crosswalk;std_disparity;3.695976776638588;50;
40;infmax;synthetic2;deepwalk;crosswalk;var_infected_nodes_fraction;0.5338718750427475;50;
41;infmax;synthetic2;deepwalk;crosswalk;var_disparity;13.660244333451766;50;
42;infmax;synthetic2;deepwalk;fairwalk;mean_infected_nodes_fraction;11.068471796490082;50;
43;infmax;synthetic2;deepwalk;fairwalk;mean_disparity;43.3511232520566;50;
44;infmax;synthetic2;deepwalk;fairwalk;std_infected_nodes_fraction;0.9868138933872622;50;
45;infmax;synthetic2;deepwalk;fairwalk;std_disparity;14.23541115569413;50;
46;infmax;synthetic2;deepwalk;fairwalk;var_infected_nodes_fraction;0.9738016601821269;50;
47;infmax;synthetic2;deepwalk;fairwalk;var_disparity;202.64693077166092;50;
48;infmax;synthetic2;deepwalk;skip;mean_infected_nodes_fraction;10.928501083369294;50;
49;infmax;synthetic2;deepwalk;skip;mean_disparity;44.61025467747667;50;
50;infmax;synthetic2;deepwalk;skip;std_infected_nodes_fraction;1.0819247692577358;50;
51;infmax;synthetic2;deepwalk;skip;std_disparity;14.441631067593844;50;
52;infmax;synthetic2;deepwalk;skip;var_infected_nodes_fraction;1.1705612063334048;50;
53;infmax;synthetic2;deepwalk;skip;var_disparity;208.5607078924917;50;
54;infmax;synthetic3;deepwalk;crosswalk;mean_infected_nodes_fraction;10.16043848140551;50;
55;infmax;synthetic3;deepwalk;crosswalk;mean_disparity;9.872454212242307;50;
56;infmax;synthetic3;deepwalk;crosswalk;std_infected_nodes_fraction;0.8114101310594728;50;
57;infmax;synthetic3;deepwalk;crosswalk;std_disparity;8.23737491625244;50;
58;infmax;synthetic3;deepwalk;crosswalk;var_infected_nodes_fraction;0.6583864007859509;50;
59;infmax;synthetic3;deepwalk;crosswalk;var_disparity;67.8543455109049;50;
60;infmax;synthetic3;deepwalk;fairwalk;mean_infected_nodes_fraction;10.395936710322847;50;
61;infmax;synthetic3;deepwalk;fairwalk;mean_disparity;26.318580864799557;50;
62;infmax;synthetic3;deepwalk;fairwalk;std_infected_nodes_fraction;0.7734797810217018;50;
63;infmax;synthetic3;deepwalk;fairwalk;std_disparity;10.200902823015173;50;
64;infmax;synthetic3;deepwalk;fairwalk;var_infected_nodes_fraction;0.5982709716493797;50;
65;infmax;synthetic3;deepwalk;fairwalk;var_disparity;104.05841840459894;50;
66;infmax;synthetic3;deepwalk;skip;mean_infected_nodes_fraction;10.56170200921574;50;
67;infmax;synthetic3;deepwalk;skip;mean_disparity;37.590500117450944;50;
68;infmax;synthetic3;deepwalk;skip;std_infected_nodes_fraction;0.7350581938440589;50;
69;infmax;synthetic3;deepwalk;skip;std_disparity;12.911441417359487;50;
70;infmax;synthetic3;deepwalk;skip;var_infected_nodes_fraction;0.5403105483372901;50;
71;infmax;synthetic3;deepwalk;skip;var_disparity;166.70531947390597;50;
72;infmax;twitter;deepwalk;crosswalk;mean_infected_nodes_fraction;1.3306687982946976;50;
73;infmax;twitter;deepwalk;crosswalk;mean_disparity;1.2154389929051288;50;
74;infmax;twitter;deepwalk;crosswalk;std_infected_nodes_fraction;0.09642672152761483;50;
75;infmax;twitter;deepwalk;crosswalk;std_disparity;0.7694155199198977;50;
76;infmax;twitter;deepwalk;crosswalk;var_infected_nodes_fraction;0.009298112624564177;50;
77;infmax;twitter;deepwalk;crosswalk;var_disparity;0.5920002422936065;50;
78;infmax;twitter;deepwalk;fairwalk;mean_infected_nodes_fraction;1.3343991473487875;50;
79;infmax;twitter;deepwalk;fairwalk;mean_disparity;0.5449014371100196;50;
80;infmax;twitter;deepwalk;fairwalk;std_infected_nodes_fraction;0.08898749228302344;50;
81;infmax;twitter;deepwalk;fairwalk;std_disparity;0.6388625886654328;50;
82;infmax;twitter;deepwalk;fairwalk;var_infected_nodes_fraction;0.007918773782821156;50;
83;infmax;twitter;deepwalk;fairwalk;var_disparity;0.408145407196298;50;
84;infmax;twitter;deepwalk;skip;mean_infected_nodes_fraction;1.3024247268851585;50;
85;infmax;twitter;deepwalk;skip;mean_disparity;0.5810261834406382;50;
86;infmax;twitter;deepwalk;skip;std_infected_nodes_fraction;0.09964648576505283;50;
87;infmax;twitter;deepwalk;skip;std_disparity;0.4504271570993682;50;
88;infmax;twitter;deepwalk;skip;var_infected_nodes_fraction;0.009929422125324876;50;
89;infmax;twitter;deepwalk;skip;var_disparity;0.20288462385261893;50;
90;linkpred;rice;deepwalk;crosswalk;mean_accuracy;83.63302277432713;50;
91;linkpred;rice;deepwalk;crosswalk;mean_disparity;11.073874244926003;50;
92;linkpred;rice;deepwalk;crosswalk;std_accuracy;0.48109060641543633;50;
93;linkpred;rice;deepwalk;crosswalk;std_disparity;4.06403009996331;50;
94;linkpred;rice;deepwalk;crosswalk;var_accuracy;0.23144817158117229;50;
95;linkpred;rice;deepwalk;crosswalk;var_disparity;16.516340653407795;50;
96;linkpred;rice;deepwalk;fairwalk;mean_accuracy;84.3064182194617;50;
97;linkpred;rice;deepwalk;fairwalk;mean_disparity;11.172040790815817;50;
98;linkpred;rice;deepwalk;fairwalk;std_accuracy;0.5209518691547055;50;
99;linkpred;rice;deepwalk;fairwalk;std_disparity;3.513211307781969;50;
100;linkpred;rice;deepwalk;fairwalk;var_accuracy;0.2713908499757814;50;
101;linkpred;rice;deepwalk;fairwalk;var_disparity;12.342653693127092;50;
102;linkpred;rice;deepwalk;skip;mean_accuracy;85.91873706004141;50;
103;linkpred;rice;deepwalk;skip;mean_disparity;25.969062660140946;50;
104;linkpred;rice;deepwalk;skip;std_accuracy;0.5287679395214107;50;
105;linkpred;rice;deepwalk;skip;std_disparity;9.825217622583391;50;
106;linkpred;rice;deepwalk;skip;var_accuracy;0.27959553386571817;50;
107;linkpred;rice;deepwalk;skip;var_disparity;96.53490133112324;50;
108;linkpred;twitter;deepwalk;crosswalk;mean_accuracy;94.6576125804146;50;
109;linkpred;twitter;deepwalk;crosswalk;mean_disparity;3.9254170754635878;50;
110;linkpred;twitter;deepwalk;crosswalk;std_accuracy;0.39915084650055577;50;
111;linkpred;twitter;deepwalk;crosswalk;std_disparity;3.5300827984622973;50;
112;linkpred;twitter;deepwalk;crosswalk;var_accuracy;0.15932139826211023;50;
113;linkpred;twitter;deepwalk;crosswalk;var_disparity;12.461484563999406;50;
