;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.599088838268795;20;extended_crosswalk
1;infmax;rice;deepwalk;crosswalk;mean_disparity;15.179398589675696;20;extended_crosswalk
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.5612752617644863;20;extended_crosswalk
3;infmax;rice;deepwalk;crosswalk;std_disparity;13.676802647578109;20;extended_crosswalk
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;6.560130966526738;20;extended_crosswalk
5;infmax;rice;deepwalk;crosswalk;var_disparity;187.05493066079956;20;extended_crosswalk
6;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.633257403189067;20;original_crosswalk
7;infmax;rice;deepwalk;crosswalk;mean_disparity;18.294996327795076;20;original_crosswalk
8;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.1557208499901557;20;original_crosswalk
9;infmax;rice;deepwalk;crosswalk;std_disparity;15.051081642613013;20;original_crosswalk
10;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.647132383082279;20;original_crosswalk
11;infmax;rice;deepwalk;crosswalk;var_disparity;226.53505861260246;20;original_crosswalk
12;linkpred;rice;deepwalk;crosswalk;mean_accuracy;83.71574352022073;20;extended_crosswalk
13;linkpred;rice;deepwalk;crosswalk;mean_disparity;8.623591148842326;20;extended_crosswalk
14;linkpred;rice;deepwalk;crosswalk;std_accuracy;0.3468963568125249;20;extended_crosswalk
15;linkpred;rice;deepwalk;crosswalk;std_disparity;3.6698817190962503;20;extended_crosswalk
16;linkpred;rice;deepwalk;crosswalk;var_accuracy;0.1203370823698026;20;extended_crosswalk
17;linkpred;rice;deepwalk;crosswalk;var_disparity;13.468031832156848;20;extended_crosswalk
18;linkpred;rice;deepwalk;crosswalk;mean_accuracy;83.59490069690825;20;original_crosswalk
19;linkpred;rice;deepwalk;crosswalk;mean_disparity;9.79671634160871;20;original_crosswalk
20;linkpred;rice;deepwalk;crosswalk;std_accuracy;0.5687979959959272;20;original_crosswalk
21;linkpred;rice;deepwalk;crosswalk;std_disparity;3.7476793443542946;20;original_crosswalk
22;linkpred;rice;deepwalk;crosswalk;var_accuracy;0.3235311602489828;20;original_crosswalk
23;linkpred;rice;deepwalk;crosswalk;var_disparity;14.045100468099836;20;original_crosswalk
24;nodeclass;rice;deepwalk;crosswalk;mean_accuracy;83.1590909090909;20;extended_crosswalk
25;nodeclass;rice;deepwalk;crosswalk;mean_disparity;87.22136347630013;20;extended_crosswalk
26;nodeclass;rice;deepwalk;crosswalk;std_accuracy;2.3943589007194697;20;extended_crosswalk
27;nodeclass;rice;deepwalk;crosswalk;std_disparity;55.90932068505007;20;extended_crosswalk
28;nodeclass;rice;deepwalk;crosswalk;var_accuracy;5.732954545454548;20;extended_crosswalk
29;nodeclass;rice;deepwalk;crosswalk;var_disparity;3125.852139463768;20;extended_crosswalk
30;nodeclass;rice;deepwalk;crosswalk;mean_accuracy;83.97727272727272;20;original_crosswalk
31;nodeclass;rice;deepwalk;crosswalk;mean_disparity;60.15467063928433;20;original_crosswalk
32;nodeclass;rice;deepwalk;crosswalk;std_accuracy;2.3481793545195244;20;original_crosswalk
33;nodeclass;rice;deepwalk;crosswalk;std_disparity;37.754568246350104;20;original_crosswalk
34;nodeclass;rice;deepwalk;crosswalk;var_accuracy;5.51394628099173;20;original_crosswalk
35;nodeclass;rice;deepwalk;crosswalk;var_disparity;1425.4074234683078;20;original_crosswalk
