;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;17.47152619589977;20;pytorch_test
1;infmax;rice;deepwalk;crosswalk;mean_disparity;68.41656717932055;20;pytorch_test
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.4396982778972323;20;pytorch_test
3;infmax;rice;deepwalk;crosswalk;std_disparity;30.35675196336886;20;pytorch_test
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;5.9521276871747215;20;pytorch_test
5;infmax;rice;deepwalk;crosswalk;var_disparity;921.5323897654993;20;pytorch_test
6;infmax;rice;deepwalk;fairwalk;mean_infected_nodes_fraction;17.28929384965831;20;pytorch_test
7;infmax;rice;deepwalk;fairwalk;mean_disparity;68.24775747225371;20;pytorch_test
8;infmax;rice;deepwalk;fairwalk;std_infected_nodes_fraction;2.048721369639854;20;pytorch_test
9;infmax;rice;deepwalk;fairwalk;std_disparity;24.85613409994928;20;pytorch_test
10;infmax;rice;deepwalk;fairwalk;var_infected_nodes_fraction;4.197259250418998;20;pytorch_test
11;infmax;rice;deepwalk;fairwalk;var_disparity;617.8274023946615;20;pytorch_test
12;infmax;rice;deepwalk;skip;mean_infected_nodes_fraction;16.640091116173117;20;pytorch_test
13;infmax;rice;deepwalk;skip;mean_disparity;36.188536262465114;20;pytorch_test
14;infmax;rice;deepwalk;skip;std_infected_nodes_fraction;2.9352942943908547;20;pytorch_test
15;infmax;rice;deepwalk;skip;std_disparity;26.64968428542932;20;pytorch_test
16;infmax;rice;deepwalk;skip;var_infected_nodes_fraction;8.615952594683506;20;pytorch_test
17;infmax;rice;deepwalk;skip;var_disparity;710.2056725130585;20;pytorch_test
18;infmax;rice;node2vec;crosswalk;mean_infected_nodes_fraction;17.84738041002278;20;pytorch_test
19;infmax;rice;node2vec;crosswalk;mean_disparity;66.36231754442096;20;pytorch_test
20;infmax;rice;node2vec;crosswalk;std_infected_nodes_fraction;2.2713744676018566;20;pytorch_test
21;infmax;rice;node2vec;crosswalk;std_disparity;26.99603326669933;20;pytorch_test
22;infmax;rice;node2vec;crosswalk;var_infected_nodes_fraction;5.159141972073618;20;pytorch_test
23;infmax;rice;node2vec;crosswalk;var_disparity;728.785812136737;20;pytorch_test
24;infmax;rice;node2vec;fairwalk;mean_infected_nodes_fraction;17.11845102505695;20;pytorch_test
25;infmax;rice;node2vec;fairwalk;mean_disparity;68.6943913912201;20;pytorch_test
