;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.596810933940777;50;alpha_05
1;infmax;rice;deepwalk;crosswalk;mean_disparity;20.758483845306404;50;alpha_05
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.206046557594024;50;alpha_05
3;infmax;rice;deepwalk;crosswalk;std_disparity;12.859731362875037;50;alpha_05
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.866641414272444;50;alpha_05
5;infmax;rice;deepwalk;crosswalk;var_disparity;165.37269072531183;50;alpha_05
6;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.009111617312076;50;alpha_07
7;infmax;rice;deepwalk;crosswalk;mean_disparity;6.784525873746063;50;alpha_07
8;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.092406091450651;50;alpha_07
9;infmax;rice;deepwalk;crosswalk;std_disparity;8.019683148010778;50;alpha_07
10;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.37816325153979;50;alpha_07
11;infmax;rice;deepwalk;crosswalk;var_disparity;64.31531779448805;50;alpha_07
12;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;17.416856492027335;50;alpha_09
13;infmax;rice;deepwalk;crosswalk;mean_disparity;3.5906017233527736;50;alpha_09
14;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.0185934244016304;50;alpha_09
15;infmax;rice;deepwalk;crosswalk;std_disparity;7.311424917497289;50;alpha_09
16;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.0747194130375;50;alpha_09
17;infmax;rice;deepwalk;crosswalk;var_disparity;53.45693432420025;50;alpha_09
