;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.788154897494305;50;p_1
1;infmax;rice;deepwalk;crosswalk;mean_disparity;27.26495014582857;50;p_1
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.145703658064332;50;p_1
3;infmax;rice;deepwalk;crosswalk;std_disparity;16.975332557372933;50;p_1
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.604044188230656;50;p_1
5;infmax;rice;deepwalk;crosswalk;var_disparity;288.1619154334055;50;p_1
6;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.423690205011393;50;p_2
7;infmax;rice;deepwalk;crosswalk;mean_disparity;23.16356553214844;50;p_2
8;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;1.9950280923755261;50;p_2
9;infmax;rice;deepwalk;crosswalk;std_disparity;18.624921811203272;50;p_2
10;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;3.9801370893675307;50;p_2
11;infmax;rice;deepwalk;crosswalk;var_disparity;346.8877124734354;50;p_2
12;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;17.940774487471526;50;p_3
13;infmax;rice;deepwalk;crosswalk;mean_disparity;22.28875961401742;50;p_3
14;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;1.9061364041703548;50;p_3
15;infmax;rice;deepwalk;crosswalk;std_disparity;19.7778806025233;50;p_3
16;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;3.6333559913034903;50;p_3
17;infmax;rice;deepwalk;crosswalk;var_disparity;391.16456112766747;50;p_3
18;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;17.59908883826879;50;p_4
19;infmax;rice;deepwalk;crosswalk;mean_disparity;15.592191216390535;50;p_4
20;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.142107124210975;50;p_4
21;infmax;rice;deepwalk;crosswalk;std_disparity;10.914257249600743;50;p_4
22;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.588622931595414;50;p_4
23;infmax;rice;deepwalk;crosswalk;var_disparity;119.12101131046238;50;p_4
