;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.61503416856492;50;wl_10
1;infmax;rice;deepwalk;crosswalk;mean_disparity;21.082952581806204;50;wl_10
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.046587704001984;50;wl_10
3;infmax;rice;deepwalk;crosswalk;std_disparity;14.977107128969308;50;wl_10
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.188521230172113;50;wl_10
5;infmax;rice;deepwalk;crosswalk;var_disparity;224.31373795262326;50;wl_10
6;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.387243735763096;50;wl_20
7;infmax;rice;deepwalk;crosswalk;mean_disparity;22.495112422879746;50;wl_20
8;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;1.7621264827271528;50;wl_20
9;infmax;rice;deepwalk;crosswalk;std_disparity;16.692796503560952;50;wl_20
10;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;3.1050897411283667;50;wl_20
11;infmax;rice;deepwalk;crosswalk;var_disparity;278.6494551092968;50;wl_20
12;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;17.92255125284738;50;wl_5
13;infmax;rice;deepwalk;crosswalk;mean_disparity;15.166438917378066;50;wl_5
14;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.037134310766656;50;wl_5
15;infmax;rice;deepwalk;crosswalk;std_disparity;13.072735501607461;50;wl_5
16;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.149916200102739;50;wl_5
17;infmax;rice;deepwalk;crosswalk;var_disparity;170.89641349498808;50;wl_5
