;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
0;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.555808656036444;50;nw_1k
1;infmax;rice;deepwalk;crosswalk;mean_disparity;19.77860814797085;50;nw_1k
2;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.111070495087543;50;nw_1k
3;infmax;rice;deepwalk;crosswalk;std_disparity;15.897555649839346;50;nw_1k
4;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.456618635229164;50;nw_1k
5;infmax;rice;deepwalk;crosswalk;var_disparity;252.73227563973887;50;nw_1k
6;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;18.195899772209565;50;nw_2k
7;infmax;rice;deepwalk;crosswalk;mean_disparity;13.68902490684451;50;nw_2k
8;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;2.2265929301531866;50;nw_2k
9;infmax;rice;deepwalk;crosswalk;std_disparity;15.383813165476528;50;nw_2k
10;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;4.957716076608154;50;nw_2k
11;infmax;rice;deepwalk;crosswalk;var_disparity;236.66170751028898;50;nw_2k
12;infmax;rice;deepwalk;crosswalk;mean_infected_nodes_fraction;17.890660592255127;50;nw_5k
13;infmax;rice;deepwalk;crosswalk;mean_disparity;19.14350580863262;50;nw_5k
14;infmax;rice;deepwalk;crosswalk;std_infected_nodes_fraction;1.9319046137466582;50;nw_5k
15;infmax;rice;deepwalk;crosswalk;std_disparity;15.374979210191121;50;nw_5k
16;infmax;rice;deepwalk;crosswalk;var_infected_nodes_fraction;3.7322554366156244;50;nw_5k
17;infmax;rice;deepwalk;crosswalk;var_disparity;236.38998571380918;50;nw_5k
